id,org_unit_id
3592584,2873782
3618416,2877000
6226659,2975871
6226660,2975871
6227612,2975871
6695764,2975871
8363086,2975871
6226045,2975876
6227278,2975876
8332528,2975876
6783255,2975881
8301567,2975881
8301568,2975881
6694751,2975898
6766379,2975898
6784344,2975898
6784345,2975898
6784346,2975898
6766133,3746080
8296689,3746080
6678813,4112500
6758452,4112500
7650941,4112500
8351434,4112500
8352466,4112500
6565180,4118318
6658500,4118319
6784354,4118319
6764798,4118320
6758489,4118321
6567162,4118327
6567164,4118328
6658035,4118329
6780233,4203497
6275698,4203499
6772006,4203499
6772007,4203500
6841541,4846251
8293226,4846251
8293227,4846251
8301925,4846251
6785014,4849008
8296635,4849008
8296637,4849008
8296638,4849008
6682048,4851531
6682049,4851531
6682050,4851531
6682051,4851531
6676865,4851532
6676866,4851532
6676867,4851532
6676868,4851532
8313205,4851532
8313221,4851532
8313222,4851532
8313223,4851532
8294862,4852067
6671314,4852305
6692611,4852531
6692612,4852531
6692613,4852531
6842523,4852531
6842525,4852531
6842526,4852531
6842538,4852531
6842540,4852531
6842541,4852531
7658024,4852531
7658025,4852531
7658026,4852531
7658027,4852531
6675051,4852623
6675052,4852623
6675053,4852623
6678795,4852623
6678796,4852623
6678797,4852623
6679268,4852623
6679269,4852623
6696521,4852623
6742585,4852623
6755108,4852623
6755109,4852623
6755110,4852623
6753974,4852624
6753975,4852624
6753976,4852624
6675047,4852625
6675048,4852625
6675049,4852625
6696534,4852626
6744474,4852626
6744475,4852626
6744489,4852626
6676902,4852704
6742575,4852704
6742576,4852704
6776870,4852704
7660229,4852704
7660230,4852704
7713207,4852753
7740109,4852753
8298484,4852753
6231487,4852764
6231488,4852764
6684313,4852765
6684352,4852765
6684353,4852765
7665121,4852765
8301631,4852765
8301632,4852765
6684338,4852766
6684356,4852766
6684358,4852766
6684359,4852766
8301661,4852766
6684332,4852767
6684345,4852767
6684346,4852767
6749964,4852767
7714644,4852767
8301687,4852767
6684331,4852768
6684343,4852768
6684344,4852768
7665122,4852768
8301686,4852768
6684334,4852769
6684339,4852769
6684340,4852769
6686166,4852769
8322173,4852769
6684330,4852770
6684341,4852770
6684342,4852770
7665123,4852770
8301927,4852770
6684326,4852771
6684327,4852771
6684329,4852771
7665125,4852771
8301684,4852771
6684324,4852772
6684354,4852772
6684355,4852772
7665120,4852772
8301637,4852772
8301663,4852772
6684321,4852773
6684322,4852773
6684357,4852773
6778901,4852773
7665119,4852773
8301662,4852773
6231661,4852774
6231662,4852774
6684318,4852774
6684350,4852774
6684351,4852774
7711359,4852774
8301635,4852774
6684328,4852775
6684336,4852775
6684337,4852775
6749961,4852775
7665124,4852775
8301928,4852775
6686167,4852776
6757268,4852776
7714645,4852776
6677113,4852779
6677119,4852779
6677114,4852780
6677118,4852780
6744854,4852780
6677634,4852781
6677116,4852783
6677115,4852784
6678366,4852784
6744853,4852784
6781884,4852784
6782499,4852816
7649727,4852816
8271463,4852816
8271464,4852816
8271465,4852816
8295391,4852816
6678716,4852859
6787038,4852859
7650939,4852859
6683425,4853001
6756438,4853001
6683488,4853007
6683489,4853007
6683490,4853007
6683491,4853007
6683492,4853007
6683883,4853015
6786870,4853015
6840210,4853015
7652956,4853015
8207953,4853015
8207954,4853015
8207955,4853015
8207956,4853015
8299764,4853015
6684315,4853020
6684335,4853020
6684349,4853020
6749962,4853020
6778903,4853020
7665118,4853020
8301636,4853020
8291872,4853056
8302147,4853056
8355286,4853056
8290632,4853057
8302152,4853057
8354302,4853057
8291873,4853059
8302151,4853059
8354926,4853059
6687401,4853113
6688617,4853143
6688620,4853143
6688621,4853143
6688622,4853143
6691655,4853197
6691654,4853199
6693644,4853199
6694431,4853282
6770182,4853282
6770099,4853283
6694438,4853284
8283790,4854065
8283791,4854065
8283792,4854065
8297797,4854065
8297805,4854065
8297830,4854065
8357061,4854065
6750318,4867535
6752734,4868007
7708788,4868007
6756906,4868040
7660977,4868040
8272593,4868040
8272594,4868040
8272595,4868040
8303836,4868040
6766975,4868192
6768954,4868192
6777912,4868192
6768429,4868216
6770831,4868216
7651575,4868216
8161579,4868216
8295147,4868216
6768428,4868217
6768430,4868217
6770829,4868217
6784928,4868217
7714165,4868217
8161583,4868217
6770830,4868218
6784926,4868218
7651576,4868218
8161580,4868218
8161581,4868218
6768433,4868219
6768434,4868219
6769934,4868219
6770832,4868219
7651574,4868219
8161582,4868219
6770100,4868221
6771277,4868221
6768449,4868222
6768454,4868222
6768455,4868222
6768456,4868222
6768448,4868223
6768446,4868224
6768452,4868225
8295993,4868272
6769918,4868273
6778683,4868273
8280205,4868273
8280206,4868273
8295992,4868273
8294323,4868312
6783303,4996679
6783307,4996679
6783308,4996679
8294364,4996679
6810388,4996878
6820682,4996909
6834466,4997050
6841575,5002094
8293225,5002094
8301924,5002094
7658032,5012298
7658033,5012298
7658034,5012298
7658028,5012299
7658029,5012299
7658030,5012299
7658031,5012299
7730361,5013121
7730362,5013121
7730363,5013121
7733905,5013121
7733288,5023572
7733289,5023572
7733290,5023572
7733291,5023572
7733292,5023573
7733293,5023573
7733294,5023573
7733295,5023573
7748815,5023792
7748816,5023792
7748817,5023792
8271468,5023835
8018378,5023851
8018379,5023851
8299157,5023851
8063420,5023884
8063421,5023884
8122340,5121768
8122342,5121768
8294027,5203563
8283894,5203564
8283895,5203564
8297915,5203564
8297969,5203564
8288401,5203576
8298461,5203576
8298462,5203576
8298463,5203576
8288400,5203577
8296426,5203577
8298458,5203577
8298459,5203577
8298460,5203577
8288399,5203578
8296430,5203578
8296431,5203578
8296419,5203642
8297876,5203676
8303644,5213363
8303645,5213363
8303646,5213363
